experiment,acclimation_temperature,compartment,temperature,removed_temp,phase,available_structure,T50,T55,T60,TSUM
1,16,1,13,10,I,"1,2,3,4,5,6,7",0,0,0,0
1,16,2,16,10,I,"1,2,3,4,5,6,7",0,0,0,0
1,16,3,19,10,I,"1,2,3,4,5,6,7",0,0,0,0
1,16,4,22,10,I,"1,2,3,4,5,6,7",0,0,0,0
1,16,5,19,10,I,"1,2,3,4,5,6,7",0,0,0,0
1,16,6,16,10,I,"1,2,3,4,5,6,7",0,0,0,0
1,16,7,13,10,I,"1,2,3,4,5,6,7",3,3,3,9
1,16,8,10,10,I,"1,2,3,4,5,6,7",0,0,0,0
11,16,1,13,10,I,"1,2,3,4,5,6,7",0,0,0,0
11,16,2,16,10,I,"1,2,3,4,5,6,7",2,2,1,5
11,16,3,19,10,I,"1,2,3,4,5,6,7",0,0,0,0
11,16,4,22,10,I,"1,2,3,4,5,6,7",0,0,0,0
11,16,5,19,10,I,"1,2,3,4,5,6,7",0,0,0,0
11,16,6,16,10,I,"1,2,3,4,5,6,7",0,0,0,0
11,16,7,13,10,I,"1,2,3,4,5,6,7",0,0,1,1
11,16,8,10,10,I,"1,2,3,4,5,6,7",0,0,0,0
22,16,1,13,10,I,"1,2,3,4,5,6,7",1,1,1,3
22,16,2,16,10,I,"1,2,3,4,5,6,7",0,0,0,0
22,16,3,19,10,I,"1,2,3,4,5,6,7",0,0,0,0
22,16,4,22,10,I,"1,2,3,4,5,6,7",0,0,0,0
22,16,5,19,10,I,"1,2,3,4,5,6,7",0,0,1,1
22,16,6,16,10,I,"1,2,3,4,5,6,7",2,2,1,5
22,16,7,13,10,I,"1,2,3,4,5,6,7",0,0,0,0
22,16,8,10,10,I,"1,2,3,4,5,6,7",0,0,0,0